scene	seconds	voice	transition
01	8.832	narrator	dip-to-black
02	6.652	narrator	cut
03	6.675	narrator	light-flash
04	4.160	deus	cut
05	6.314	narrator	cut
06	5.592	deus	cut
07	9.518	narrator	match-cut
08	5.189	deus	cut
09	7.622	narrator	cut
10	5.145	deus	cut
11	4.327	narrator	dip-to-black
12	8.350	deus	cut
13	7.917	narrator	cut
14	6.527	deus	cut
15	7.735	narrator	cut
16	8.883	narrator	match-cut
17	6.441	deus	light-flash
18	6.571	narrator	cut
19	6.235	deus	cut
20	7.366	narrator	cut
21	6.702	deus	cut
22	7.838	narrator	cut
23	7.453	narrator	cut
24	7.014	deus	cut
25	5.419	narrator	dip-to-black
26	10.686	deus	cut
27	8.903	narrator	cut
28	8.039	deus	light-flash
29	6.302	narrator	cut
30	6.203	adam	cut
31	8.846	deus	cut
32	6.186	narrator	cut
33	6.520	deus	dip-to-black
34	8.337	narrator	cut
35	7.429	adam	cut
36	8.100	eva	cut
37	5.912	narrator	cut
38	8.518	deus	cut
39	6.199	narrator	cut
40	8.837	narrator	dip-to-black
