scene	seconds	voice	transition
01	9.406	narrator	cut
02	7.255	narrator	cut
03	8.555	rei	cut
04	10.081	narrator	cut
05	6.505	sadraque	cut
06	8.409	rei	cut
07	8.130	guarda	cut
08	10.174	narrator	dip-to-black
09	7.966	narrator	cut
10	9.113	narrator	cut
11	6.273	mesaque	cut
12	5.948	guarda	cut
13	7.055	guarda	cut
14	4.369	rei	smash-cut
15	6.041	rei	cut
16	7.162	rei	cut
17	9.399	narrator	cut
18	5.065	sadraque	cut
19	4.322	abednego	cut
20	5.623	rei	smash-cut
21	7.720	narrator	cut
22	6.837	narrator	cut
23	5.112	mesaque	cut
24	5.783	narrator	dip-to-black
25	5.298	rei	cut
26	6.691	rei	light-flash
27	8.881	narrator	cut
28	8.084	rei	cut
29	6.884	narrator	cut
30	8.316	narrator	cut
31	8.355	rei	cut
32	6.598	rei	cut
33	6.830	sadraque	cut
34	7.959	narrator	dip-to-black
35	5.112	abednego	cut
36	6.605	narrator	cut
37	6.201	narrator	cut
38	9.484	narrator	cut
39	7.627	narrator	cut
40	7.491	narrator	dip-to-black
