id	act	shot	refs	voice	text	hold	image_prompt	motion_prompt	vfx	sfx	transition
01	gancho	aerial	-	narrator	[warm] Na grande Babilônia, o rei Nabucodonosor mandou construir uma estátua de ouro gigante, brilhando na planície de Dura.	1.8	Vast golden dawn over the plain of Dura outside Babylon, a colossal golden statue towering alone over the empty plain, terraced Babylonian city and ziggurat far in the background, long morning shadows, layered foreground grasses, cinematic scale and wonder	Camera glides high over the plain toward the towering golden statue as dawn light flares on the metal and banners ripple in the wind	sun glints and volumetric dawn haze over the golden statue	low wind over the plain, distant city murmur, deep metallic shimmer	cut
02	gancho	low-angle	-	narrator	[awe] A estátua era tão alta que parecia tocar as nuvens. E todo o reino recebeu uma ordem do rei.	1.6	Low-angle view from the base of the immense golden statue rising into bright clouds, polished gold surfaces reflecting the sky, carved Babylonian patterns on the stone pedestal, no people anywhere, imposing reverent monumental scale	Camera tilts slowly up the polished golden statue from its base to the clouds while light streams between its shoulders	light rays breaking around the statue silhouette	high wind, distant banners flapping, deep resonant hum	cut
03	mundo	wide	rei	rei	[proud] Eu sou Nabucodonosor, rei da Babilônia! Esta estátua vai mostrar o meu poder para o mundo inteiro!	1.6	Wide shot of King Nebuchadnezzar standing proudly on a high palace terrace overlooking Babylon, arms open toward the distant golden statue, rich blue and gold robes catching the sun, hanging gardens and ziggurat in the background	The king spreads his arms wide toward the distant statue as his robe and banners sway in the warm wind, camera pushes in slowly	-	city ambience below, banners flapping, royal horns far away	cut
04	mundo	medium	sadraque,mesaque,abednego	narrator	[warm] Naquela cidade moravam três amigos: Sadraque, Mesaque e Abednego. Eles serviam ao Deus verdadeiro de Israel.	1.5	Medium shot of three young Hebrew friends walking together through a Babylonian market street, warm afternoon light, colorful stalls with fruit and cloth in foreground and midground, mud-brick houses behind, friendly confident expressions	The three friends walk side by side through the market as cloth awnings sway and dust motes drift in warm light, camera tracks gently with them	-	market chatter, footsteps on dust, fabric rustle	cut
05	mundo	close-up	sadraque	sadraque	[calm] Deus cuidou de nós até aqui. Em tudo o que fizermos, vamos honrar somente a Ele.	1.5	Close-up of Shadrach speaking with calm conviction to his friends, warm golden hour light on his face, market colors softly blurred behind him, kind steady eyes, gentle confident smile, intimate emotional framing	Shadrach speaks calmly and nods to his friends, his eyes steady and warm, a soft breeze moving his hair, camera holds close	-	soft market ambience, gentle wind, close cloth movement	cut
06	decreto	wide	rei,guarda	rei	[authoritative] Capitão, anuncie a minha ordem! Quando a música tocar, todos devem adorar a estátua de ouro!	1.5	Wide throne room shot of King Nebuchadnezzar commanding from his golden throne while the guard captain bows before him, tall blue-glazed columns with golden lions, glowing braziers, dramatic shafts of light from high windows	The king rises from his throne pointing forward as the captain bows and turns to leave, brazier flames swaying with the movement	ember glow and drifting smoke from the braziers	crackling braziers, echoing hall, armor clinking	cut
07	decreto	medium	guarda	guarda	[serious] Povos e nações, ouçam! Quando as trombetas e harpas tocarem, curvem-se diante da estátua do rei!	1.5	Medium shot of the Babylonian guard captain proclaiming the decree from a stone platform, scroll open in his hands, bronze armor gleaming, banners and the distant golden statue behind him, late morning light	The captain unrolls the scroll and proclaims loudly, banner shadows sweeping across him, camera slowly arcs around the platform	-	echoing proclamation, banners flapping, distant crowd murmur	cut
08	decreto	detail	-	narrator	[calm] Trombetas, harpas, flautas e tambores ficaram prontos. Ao primeiro som, todos deveriam se ajoelhar no chão.	2.3	Detail shot of ancient Babylonian instruments arranged on woven cloth, bronze trumpets, wooden harps with carved lions, reed flutes and skin drums, warm sunlight raking across the rich textures, shallow depth of field, no people	Camera slides slowly across the gleaming trumpets, harp strings and drums as sunlight flares along the polished bronze	-	single tuning harp pluck, soft wind, leather creak	dip-to-black
09	decreto	extreme-wide	-	narrator	[awe] A música ecoou pela planície inteira. E diante da grande estátua, o povo todo se curvou.	1.8	Extreme-wide view of the golden statue towering over the plain of Dura under a blazing midday sky, heat shimmer rising, rows of banners bowing low in the wind, the statue gleaming alone in monumental scale, no people visible	Camera pulls back slowly from the immense statue as heat shimmer rises and wind bends the rows of banners low	heat shimmer and rippling banners across the plain	distant layered horns and harps, wind, deep drum pulses	cut
10	desafio	wide	sadraque,mesaque,abednego	narrator	[determined] Mas três homens continuaram de pé. Sadraque, Mesaque e Abednego não se curvaram diante da estátua.	1.6	Wide shot of Shadrach, Meshach and Abednego standing tall and calm on the sunlit plain, wind pulling at their tunics, golden reflected glow of the statue on the ground around them, strong resolute silhouettes	The three friends stand firm as wind sweeps dust past their feet and their tunics ripple, camera slowly pushes toward their calm faces	golden reflected light and streaming dust ribbons	wind gusts, fading music echo, cloth snapping	cut
