plano	resourceId	url
c1p1	IWMh4RRVOSLRxSnhK0vs	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783886145971_5e5b9ddb_1783886146462_b89dbe31.png
c1p2	7pZSiPCV34ylVEA7Pq7s	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783886155309_e8845b21_1783886155734_39a9f5ad.png
c2p1	4AE3PNYXCvW9snvGQSHH	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783886168163_7c47d4d0_1783886168685_7daf69ea.png
c2p2	jm2nNmbJBCAN43NkBYnF	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783886164028_2d0cab4d_1783886165388_782cd893.png
c2p3	EpMrlxZN4u4vkrsoWQZB	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783886169937_8ece51cf_1783886170286_18535bf5.png
c3p1	BCgjPUnJgnuS9XK1qDUJ	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783886179649_46d87998_1783886179809_96398f36.png
c3p2	Efa3QpYBJ2GKg8oykkff	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783886183111_4f86bf3a_1783886183644_f9a5685f.png
c3p3	UsmFSyLMh2zLUaGBavK5	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783886190869_0051ed00_1783886191207_793dd42f.png
c4p1	cpiMnkI1cQmWKsj19K1i	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783886218762_b5837d48_1783886219390_b01e7b8b.png
c4p2	g5RfwT7tXZoNlYYNxdg6	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783886224635_f1696f81_1783886225449_5f59c616.png
c4p3	Ew8iCxXT9T6qx3XEOcoJ	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783886230068_4ee43bd5_1783886230758_f98c0398.png
c5p1	ciQDhYJcskZra4BPCYZl	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783886240335_60a899c3_1783886240957_5e00d035.png
c5p2	b5OrW5aOCngZXljNMvTa	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783886241972_3a569816_1783886242280_2a0c378c.png
c6p1	2YHGZaDECUlESo1ZoPsm	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783886248459_3fcf4b33_1783886250231_c16385c1.png
c6p2	MPGGKU1Qk9xKHjjfZwPN	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783886259133_d2b0eb7c_1783886260104_36a6a833.png
c6p3	OWgfYDgbkXzIthuE9DHB	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783886256410_d9a08bca_1783886256907_6ff21235.png
c7p1	AhivrDiCGMoZtbPWocFo	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783886289948_e78a9a80_1783886290374_466e8590.png
c7p2	Uu95mUqKjsmisq8vSOkR	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783886294722_67417dff_1783886295162_188800c3.png
c8p1	CmOby2MGjIsZXFozpxLK	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783886296381_67b84b5e_1783886297280_5cf708cb.png
c8p2	RGDkf7wUMT9j2lSmKGlV	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783886304043_acd71552_1783886304672_fca723ee.png
