plano	historyId
c1p1	epUE4rr6VSkcdtuPwtAW
c1p2	CWg6Rvs2gkX0slk0F56l
c2p1	3W8PYbQv2osmzZq1Wf3I
c2p2	0oAflU2nAjf91o2pnpFO
c2p3	OtDY5GjvpEUey6xlagMW
c3p1	fDraLxlAvTWb9icDBxau
c3p2	nICSgqMcsXLf6RCjHT1j
c3p3	xY6HBazcs1CRCt7rkiuu
c4p1	BZ7adimdGc42ksZ8gbdY
c4p2	rh2oV9tHH954I0rcXzzP
c4p3	NcMTHpCK8ndFxB7uKuIP
c5p1	Bc859Dut9Wup4igBWQQh
c5p2	3vwIosUcPsEAnnPw8HKq
c6p1	Mlrr9QYYPFCY0bjh089R
c6p2	UNKpiQaXERvAzmfTP2Ia
c6p3	TEAF5o08rcGqmOMbTtay
c7p1	nyz0AfVgcG0uJs3kKpKt
c7p2	m7bUoSePZjeasBvSSL6J
c8p1	ukuN5Q5JaOAfCyqE7j60
c8p2	WQ0dbhKuTSt9acPEzrs0
c5p1	OYmNQFtU80GJ7mkjvS7w	(v2 bravo 13/07)
c7p1	dqaHMQARdzRnhMSk8PB4	(v2 culpado 13/07)
c6p3	XACDb1V1HQacdOX9HbV4	(v2 chorando 13/07)
