plano	resourceId	url
c1p1	F8OGjqDmUGO19qpltSqj	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783887778630_d0e114bd_1783887779000_22b1d9d1.png
c1p2	gwZ2Bp3ycrdmSrFO3zbD	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783887780423_ab55c73a_1783887781533_73b64e59.png
c2p1	BFtM3ZR1GbAPFmzGwg9K	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783887785526_f3596a09_1783887785883_3bf1f895.png
c2p2	suPPyl2ggyZEP2hDeUN5	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783887789646_b5600f84_1783887790037_16af4873.png
c2p3	5y94CO5bkGyKAQM8Ltfs	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783887923822_0a86920a_1783887923963_5ec96349.png
c3p1	Bbyop9qI8osKtyW0hu7l	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783887797204_5f735394_1783887797916_79158230.png
c3p2	v9C274B1yaebzhXVst5q	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783887803380_f64d16f9_1783887803898_aaead125.png
c3p3	BMVQMOWZALmqXeMCE5ss	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783887806045_c2dbd9cd_1783887806975_6227f84d.png
c4p1	WEPClVyIHgU6YQI3Q40F	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783887810268_28197a6e_1783887810376_0d9901d7.png
c4p2	X6W0ivECfPpFIdk3iuxu	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783887843426_679c1bc1_1783887844023_a13ec7d3.png
c4p3	3JMYQIBK856mOZzAEiv2	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783887848530_db52eac1_1783887848808_72db9780.png
c5p1	1V2TbnOhapijn1et51lf	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783887855927_097ecaf3_1783887856509_6aed4950.png
c5p2	mKssR9Z2TdDNiAKOXwXa	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783969873477_4484bc6c_1783969873936_4fad0dba.png
c5p3	EfmUBybtgwFi7jgDMzGX	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783887865775_d457261f_1783887866700_a96f609f.png
c6p1	jDfR16AB7N5KPWYwir5z	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783887876016_6602b504_1783887876964_c555ceb8.png
c6p2	CMsVhMpJjXeVqZTWet2x	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783887876599_107e84d8_1783887877009_a0a3e763.png
c6p3	isOjjPdrWoqOypod7xjS	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783969890597_477be9d6_1783969891177_91b4a728.png
c7p1	xUjmHhwrD10nct54PNYQ	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783887904633_1d39a134_1783887905579_80718389.png
c7p2	015ZEE0FoZbsNGuA0cO4	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783887910202_9911a110_1783887910708_0a2d7e4d.png
c7p3	8Ipi2igK50z9AMZ7ro1c	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783887915095_f31e76e0_1783887915935_2fa0a9d6.png
