plano	resourceId	url
c1p1	AUWDqOmUu9yecsTsNljp	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783889282571_bb8694d3_1783889282663_fbeea553.png
c1p2	gcrFAdcDpeqeGPrbq2CQ	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783889294170_f3ee7566_1783889294643_35b0586d.png
c2p1	HkBTPXUDnQFkCZgsFsC0	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783889294746_da0b46ac_1783889295089_c0bec5e4.png
c2p2	nMXJSdFj2UHUqbjtr8SK	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783970037582_62c4822e_1783970038044_36eb5fbc.png
c2p3	ZPJngFMPtM1JklvGU3Zt	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783970041748_5d0d2a11_1783970043676_2f64eb9c.png
c3p1	kfuupaHNvuZuvF5n3IZg	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783970049017_5fea00b6_1783970050031_74751fc0.png
c3p2	y6rUfvx55EgJ7yB7SH8k	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783889314249_63b7ea02_1783889314801_0857b6d8.png
c3p2b	KsyjliwY3yqLMAnKWAIu	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783969859985_4de89146_1783969860283_ea58b9b4.png
c3p3	dsOYsthdRMOunVnySuIA	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783970055203_c1281d4b_1783970055884_874de22b.png
c4p1	rzDUROGVpRs9nrNYIgKX	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783889354670_6c88c575_1783889354853_43c3e3ed.png
c4p2	6CQK8B0zOohlQBcyD8wx	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783889354940_11ef4d10_1783889355472_220f08af.png
c4p3	juLh7tpdI2lSuqqdZ1D9	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783889427117_ad40ece7_1783889427748_284c7a69.png
c4pA	Xdgb2HITtQiiX5jJz8MR	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783970231934_895fd381_1783970233503_e03cd383.png
c4pB	tPQaw4qfKk94OGfVUSWt	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783970065576_ca59f8f0_1783970066407_8d322ac6.png
c4pC	K34SDaEtIK6pB3vRMKw2	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783970076474_a67a3482_1783970077203_1f427eaa.png
c5p1	TnXp8mfzxQma6myZgW5D	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783889363585_76462c79_1783889363941_40cba202.png
c5p2	ZOVaDIMyJRHdiR3TJcNM	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783889366913_a9a40dbf_1783889366999_abe5df46.png
c5p3	xozc6f1HJO0NM7odjupO	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783889366918_ef0825f6_1783889367184_9576a96f.png
c6p1	TPPftTQiIWU6olO15U4W	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783889374531_b7531746_1783889375060_f802a9ec.png
c6p2	fCuTojzo7V3GuMMnAS2v	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783889379408_f20e88cd_1783889380148_07e303ec.png
c6p3	r2pIOPTlee4jkEe7oaes	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783889390028_7afec611_1783889390817_b7b04422.png
c7p1	cdYO5sdLdHGbGeP0L8sw	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783889411866_e44b5208_1783889412666_a2fc8cba.png
c7p2	RmzyHhB54NommtkGAcz9	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783889420632_31be29a6_1783889420779_41e83d88.png
c7p3	4HMm2MrPsM5IYTZqaf8G	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783889432564_14dc15f9_1783889433297_5a52c5ef.png
