plano	historyId
c1p1	vYVlvl9eF3FyG8fuPYNP
c1p2	E8UhIR4pckopLVK742tz
c2p1	1zi3oJm02bt5dHvNBBeH
c2p2	iaIyVWi2F9bWyYEI02F1
c2p3	kVNP53TWodUEZIkE33dA
c3p1	J3U37Bx2csfDZejtch1C
c3p2	f1ttOFaakvZGWt2CTx1M
c3p2b	Y2gM4IgHvdZRHeDosB8S
c3p3	kuKvEPj6iWjXN5brdiI1
c4p1	uIIeLA7vLg4aq89obQPS
c4p2	aZtG7rc7U5lZiIjAX23n
c4p3	kfv2EuWEv4qNyAjFczTv
c4pA	pZ2YpaQaLHK8PqXzY9Dx
c4pB	Ql76kMWdZkIQ3QcbtdiE
c4pC	2atkVbgMuFKMiJWYKF24
c5p1	wKz8SXn2Zw5pzURlrRnX
c5p2	mtKk2RXAlUdJoGDz8jNV
c5p3	T8Go3lE7JAXwzZBbUj5H
c6p1	TZknpAE63dUNW1NjPK3P
c6p2	qQtgjYY954yhpjr5ArJH
c6p3	n0rDaxD1Jcyph8joecyQ
c7p1	9XNYikKfVh7kfQfA3mik
c7p2	zdoh2Oz0Ye28FlnUECxp
c7p3	nIps9zUSOAUB6m9JZaM9
