plano	resourceId	url
c1p1	MkrKEFYnCwI13HJye5Vt	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783890954592_4e68b44a_1783890955471_e29f237c.png
c1p2	hjpQl0l9TQMibkqN2MBR	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783890963470_2354d3eb_1783890964444_589fb529.png
c2p1	nVtdomZnhsOfqvbN2ifA	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783890974628_37b9e2ac_1783890974887_100b1573.png
c2p2	cDv3teZspPWQYvOwdCTZ	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783890973171_978b536b_1783890974142_07367539.png
c3p1	GOxbt7s5xmDSXy1medeZ	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783890981534_b37f931f_1783890982167_ccb183f0.png
c3p2	6BBJ8JfeVR6FfBhMuDUQ	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783890991197_e4e17068_1783890991952_4310fbd5.png
c3p3	KN4mHcnu5gm2ZyUkjWN2	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783890993849_cc1b43b2_1783890994579_74c0f016.png
c4p1	orMOVDziDmeqj3y1vfxN	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783891001734_fe0501f3_1783891002288_2c585a0d.png
c4p2	3q6Rp9W6SSXPeY1OceRf	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783891036064_36c41fa6_1783891036912_e9a28077.png
c4p3	tQhRlzBFImLkhhIyUfU1	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783891039939_351750c2_1783891040801_07847656.png
c5p1	65GGWUOGabeq0oIu12zw	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783891048587_dcb481fe_1783891049112_9eaf96a2.png
c5p2	fXtgsyNEmN9sETLyGvVi	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783891053265_34d9c60b_1783891053484_04161a09.png
c5p3	MCY8AA9Mo2DIUzJDrKxQ	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783891056784_adb7f567_1783891056934_ab033225.png
c6p1	B10bbHkGRAB0z3bOqx8x	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783891066364_d2a1410f_1783891066685_c8d753f1.png
c6p2	dS5KQrBhBq6FrqsH1z85	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783891122195_1bfe338e_1783891123064_b81b6ca1.png
c6p3	f8KWK9RXjb7uRDg4NcX9	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783891116214_38594c68_1783891116654_687b5319.png
c7p1	Z51I9m9VPgB2HE6gSDan	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783891119023_5fd3d7a6_1783891119788_289240c5.png
c7p2	MAdrNYPA8MuhECcczNXm	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783891128680_e764a3f5_1783891128883_6c651363.png
c7p3	d6ROdGoHEOXYbVxd70bT	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783891134432_9a05db47_1783891134610_0e41b04d.png
c7p4	O7SyzQu5BbsNYYtMc887	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783891143237_1c3ffb18_1783891143944_af3dc9ec.png
