plano	resourceId	url
c1p1	QoLsNaHTiduEInRQ7kaR	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783905122360_3992b9cb_1783905123116_5b8efe3b.png
c1p2	At8OfSpIQ5q1RTodIB1L	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783905129706_2e73454b_1783905130258_7797eeb0.png
c2p1	RjIG5GlrXtg5XJMvy3IU	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783905137240_7a034580_1783905138070_0eb10ad3.png
c2p2	4VNmR3G60ghMkdGc64ez	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783905145027_5e27524d_1783905145759_e60e8834.png
c2p3	7zyKvhOPD7qz88w09eTs	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783905146478_3a74abd9_1783905147216_8b778cb4.png
c3p1	yLE3eFCzrHiQK8WbvJSz	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783905151570_c539a04c_1783905152453_58c58717.png
c3p2	LCM9SBCJoVjAZl6Lyf5z	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783905150915_52f70b17_1783905151455_695d6ce7.png
c3p3	yFeiJ09QwTT2DVY5txUr	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783905155047_775ed492_1783905155221_d218a9cb.png
c4p1	kzFtyJGtpQ4BksG3jUf4	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783905303890_41e98eb6_1783905304233_c43630ad.png
c4p2	zd8COuwscsfCigE2Hfdm	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783905309651_08975984_1783905310290_8e5862e1.png
c4p3	Glj2VN0BXdBuGcK83am3	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783969885009_18f3474e_1783969885820_aeadab08.png
c5p1	XxJLPAIla7YaC5CA3Wcg	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783905321933_a89a7a3c_1783905322169_47a49746.png
c5p2	HF1QD0LDwrjc7AEorwkV	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783905332166_1745230b_1783905332295_8d64f88d.png
c5p3	GAN5LbDZIreiTSTsRylc	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783905331863_495d69f8_1783905332300_be112a9b.png
c6p1	GmvJbebKs8RSNTYkK7k8	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783905342634_899738fe_1783905343455_de6990a7.png
c6p2	t797yVTCM1zvWGKePh12	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783905348179_ddb4b9bb_1783905348798_286e0160.png
c7p1	nfOb1RBjriQaCxPglKGH	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783905381293_ace0b6de_1783905381806_3c882f4d.png
c7p2	NSLP0o0mUKn2rgwOwkPq	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783905381311_09f022cb_1783905382045_4d2283a1.png
c7p3	YdG8UUVd2eZsn02ArHjx	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783905386969_62eaaecf_1783905387840_fdf14802.png
c7p4	5vBYaNJ9T3kZSfh6Uhc0	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783905403018_26893dd5_1783905403746_f47d0914.png
c7p5	e872SyWIIcUpWtouD8Fz	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783969891682_ed82eff7_1783969892480_00699b2d.png
c7p6	ZF6QajT554iZDt9RwxzA	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783969895184_acc1c78f_1783969895827_c9347664.png
