plano	resourceId	url
c1p1	wnxTzcIBzwX9eiIzi6Mm	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783952086402_0e1a7a14_1783952086779_83710480.png
c1p2	tQK5mtisPHFgr1DWnnmR	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783952099916_b58ee45d_1783952100164_cf096db0.png
c2p1	8P1ZJ6cU7Oo8MJKBRPsg	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783952111181_76b5bd83_1783952111480_9b1afc34.png
c2p2	t7VV4Gdt20uCvh1cmWZ0	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783952111476_ea5c3a4d_1783952111647_be5bd917.png
c2p3	6CS1YbJfKFMVBSTBnIDa	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783952115346_115ec8cd_1783952116187_801afbb5.png
c3p1	MWkC7F5ZeMuVoePL35PW	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783952121130_0e67402e_1783952121695_c7204250.png
c3p2	dFBdmwOlcj9kvBOQpJE5	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783952132329_1a6ef17c_1783952132634_b5fcf5d8.png
c3p3	YGlcxViNk2wLzdAHTPY2	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783952135219_ee61243b_1783952135630_cce469c5.png
c4p1	KzYZwo0qr9OXepIqvUyK	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783952152808_a96fca65_1783952152927_2d21a0c8.png
c4p2	WYy8lOBLQL8fVcrdLHNR	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783952165078_f1ccbecf_1783952165464_e6d93cb0.png
c4p3	JhFQTAFqKvWDhUeRkixk	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783952170768_9395c668_1783952171351_acced9ce.png
c5p1	qbsboHrH46hvgC86YMN2	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783952174622_690668eb_1783952175371_fb134c3c.png
c5p2	j3S1rxbH7j9s8pSvmRQK	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783952185194_36dd7661_1783952185323_6709494b.png
c5p3	OeLkdTkb6pviAWcr8scY	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783952192702_2c240657_1783952193162_807c9cf8.png
c6p1	CfrG2pSb8WUwZa0VgEbD	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783952197737_859f9177_1783952202703_45b5d9d2.png
c6p2	p8BlU5euzGW9SZJ7MQPv	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783952211214_a6a144b3_1783952211604_9e8655c5.png
c7p1	fefMmjSoXZblIfGz5qRM	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783952215979_bdad4910_1783952216319_b22446c6.png
c7p2	aZUvvMQ00GCnsSsWYV1l	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783952220639_7da4fad0_1783952220985_d623adb8.png
