plano	resourceId	url
c1p1	S145htfRJ4jq8g5PwLuj	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783972083806_30374184_1783972084504_710ce2d3.png
c1p2	ZC3KiU2mjy1gZOE7tfHS	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783972090283_e6eed268_1783972090733_42d2f35d.png
c2p1	KuvCOkzbPK96jQyuQ5xe	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783972093525_6d568da4_1783972094239_67280275.png
c2p2	XuIvB4aXRlUxwtOBjWRX	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783972113725_099fa949_1783972113961_09fc2a46.png
c3p1	HJ6WWylkU1S2AvjMAc6f	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783972112458_ce0e8eab_1783972112889_fbc114bc.png
c3p2	I03C4swMEL7I0SqLT0J9	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783972116411_7ebf1ff4_1783972116606_d168b9b9.png
c3p3	8TTtFDAKPcqxvWPpfj5t	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783972119695_a30ac7ce_1783972120353_0ef5b0ee.png
c4p1	jqPayhRH9koXX9n2pct6	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783972126880_b47d7921_1783972127521_bba8bd36.png
c4p2	FIWQUaEIzcCQverbjjiL	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783972136559_252400e6_1783972136913_777ac8d4.png
c4p3	9iZjrbK5ljwYCvCKaBQi	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783972162532_c6c2a29c_1783972163255_d7e40f56.png
c5p1	Y3S7RJnneSaTKhXtPfmf	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783972167978_e6ed42f4_1783972168220_7442dcb5.png
c5p2	7iihX8tEDJ3A2Arg7S7D	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783972175694_1d5c86a0_1783972176227_611c2db5.png
c5p3	QOokdr1m1mUKH1uXTATL	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783972184148_ba85a9d1_1783972185109_163e1862.png
c6p1	BswFkt2bubi2BAPh9lVC	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783972187163_03af54be_1783972187955_35b243a6.png
c6p2	92UsTd8tVQWiM9OXHDCx	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783972188842_37fab6c7_1783972189458_5c1269e2.png
c6p3	lAbdrB1r8hxMvDJAh6OQ	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783972195302_8b6056e4_1783972196088_f75e11c8.png
c7p1	NXxFx53Mfm8QPLBKr3m4	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783972197602_f543e173_1783972198205_dd6d5491.png
c7p2	mZFQEaDX01gphLBs8oZD	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1783972215138_62529b8c_1783972216371_20ed1109.png
masters	moises=WN8Xju422Lj0amJD8U5J farao=EeT86wkJEie7gmhJ6r8s	-
