scene	seconds	voice	transition
01	8.520	narrator	water-wipe
02	8.600	narrator	cut
03	6.560	jonas	cut
04	7.240	narrator	light-flash
05	8.600	deus	cut
06	7.960	narrator	cut
07	5.580	jonas	smash-cut
08	7.620	narrator	cut
09	6.520	jonas	cut
10	6.940	capitao	cut
11	7.180	narrator	dip-to-black
12	9.060	narrator	cut
13	9.460	capitao	cut
14	7.560	narrator	cut
15	7.080	capitao	cut
16	7.140	jonas	cut
17	7.480	narrator	cut
18	5.020	jonas	water-wipe
19	7.800	narrator	cut
20	7.820	narrator	dip-to-black
21	7.440	narrator	cut
22	7.560	jonas	cut
23	5.980	jonas	light-flash
24	5.860	narrator	cut
25	8.500	narrator	match-cut
26	7.240	deus	cut
27	5.240	jonas	cut
28	7.640	narrator	cut
29	6.860	jonas	cut
30	8.500	narrator	cut
31	8.120	narrator	cut
32	7.280	rei_ninive	cut
33	7.500	narrator	light-flash
34	6.140	jonas	cut
35	7.380	narrator	cut
36	7.160	narrator	cut
37	8.240	deus	cut
38	5.940	narrator	cut
39	7.540	narrator	dip-to-black
